iter	Passed	Remaining
727	2200	822
728	2202	818
729	2205	815
730	2206	812
731	2208	808
732	2210	805
733	2212	801
734	2217	799
735	2219	796
736	2221	792
737	2223	789
738	2224	785
739	2226	782
740	2231	780
741	2234	776
742	2236	773
743	2253	775
744	2257	772
745	2264	771
746	2268	768
747	2270	765
748	2276	762
749	2318	772
750	2320	769
751	2323	766
752	2326	762
753	2328	759
754	2332	756
755	2334	753
756	2335	749
757	2340	747
758	2343	744
759	2345	740
760	2347	737
761	2349	733
762	2350	730
763	2355	727
764	2357	724
765	2359	720
766	2361	717
767	2363	713
768	2364	710
769	2369	707
770	2371	704
771	2372	700
772	2374	697
773	2376	693
774	2378	690
775	2379	686
776	2382	683
777	2383	680
778	2386	676
779	2388	673
780	2389	670
781	2391	666
782	2393	663
783	2395	660
784	2398	656
785	2400	653
786	2402	650
787	2405	647
788	2409	644
789	2411	641
790	2413	637
791	2415	634
792	2418	631
793	2420	627
794	2421	624
795	2423	621
796	2425	617
797	2429	615
798	2432	611
799	2433	608
800	2435	605
801	2437	601
802	2439	598
803	2444	595
804	2447	592
805	2449	589
806	2451	586
807	2453	582
808	2458	580
809	2460	577
810	2461	573
811	2463	570
812	2465	567
813	2467	563
814	2468	560
815	2471	557
816	2473	554
817	2476	550
818	2478	547
819	2480	544
820	2482	541
821	2484	538
822	2486	534
823	2488	531
824	2489	528
825	2491	524
826	2493	521
827	2499	519
828	2501	516
829	2503	512
830	2505	509
831	2506	506
832	2509	503
833	2512	499
834	2513	496
835	2515	493
836	2517	490
837	2519	486
838	2525	484
839	2529	481
840	2531	478
841	2534	475
842	2538	472
843	2541	469
844	2543	466
845	2544	463
846	2546	459
847	2548	456
848	2553	454
849	2555	450
850	2557	447
851	2559	444
852	2561	441
853	2566	438
854	2568	435
855	2570	432
856	2572	429
857	2573	425
858	2575	422
859	2577	419
860	2579	416
861	2581	413
862	2582	410
863	2584	406
864	2587	403
865	2591	400
866	2594	397
867	2596	394
868	2597	391
869	2599	388
870	2601	385
871	2603	382
872	2606	379
873	2608	376
874	2610	372
875	2611	369
876	2613	366
877	2617	363
878	2619	360
879	2621	357
880	2623	354
881	2625	351
882	2627	348
883	2629	344
884	2633	342
885	2635	339
886	2636	335
887	2638	332
888	2640	329
889	2642	326
890	2646	323
891	2649	320
892	2653	317
893	2655	314
894	2657	311
895	2665	309
896	2667	306
897	2670	303
898	2672	300
899	2682	298
900	2684	294
901	2687	291
902	2695	289
903	2697	286
904	2704	283
905	2708	281
906	2710	277
907	2713	274
908	2722	272
909	2724	269
910	2728	266
911	2734	263
912	2738	260
913	2739	257
914	2741	254
